TeamNumber,TeamName,TeamShortName,ImageFileName,TeamColor
1,ar,ar,ar.png,391755ff
2,at,at,at.png,00ffffff
3,au,au,au.png,bb6600ff
4,az,az,az.png,ffd800ff
5,ba,ba,ba.png,60642fff
6,be,be,be.png,26420fff
7,bh,bh,bh.png,7dcf2fff
8,br,br,br.png,09372cff
9,ca,ca,ca.png,1f73b9ff
10,ch,ch,ch.png,001f70ff
11,ci,ci,ci.png,a200ffff
12,cn,cn,cn.png,971440ff
13,cy,cy,cy.png,ff0000ff
14,cz,cz,cz.png,ffffffff
15,de,de,de.png,6f6f6fff
16,dk,dk,dk.png,3f0000ff
17,dz,dz,dz.png,4cb69cff
18,fi,fi,fi.png,2f9761ff
19,fo,fo,fo.png,4ca9b6ff
20,fr,fr,fr.png,860055ff
21,gb,gb,gb.png,860055ff
22,eng,eng,eng.png,860055ff
23,sct,sct,sct.png,860055ff
24,wls,wls,wls.png,391755ff
25,ge,ge,ge.png,00ffffff
26,hr,hr,hr.png,bb6600ff
27,id,id,id.png,ffd800ff
28,ie,ie,ie.png,60642fff
29,in,in,in.png,26420fff
30,is,is,is.png,7dcf2fff
31,jp,jp,jp.png,09372cff
32,kr,kr,kr.png,1f73b9ff
33,mx,mx,mx.png,001f70ff
34,ng,ng,ng.png,a200ffff
35,nl,nl,nl.png,971440ff
36,no,no,no.png,ff0000ff
37,pk,pk,pk.png,ffffffff
38,pt,pt,pt.png,6f6f6fff
39,ru,ru,ru.png,3f0000ff
40,td,td,td.png,4cb69cff
41,tn,tn,tn.png,2f9761ff
42,TR,TR,tr.png,4ca9b6ff
43,ua,ua,ua.png,860055ff
44,us,us,us.png,860055ff
45,uy,uy,uy.png,860055ff
46,vn,vn,vn.png,860055ff
47,xk,xk,xk.png,860055ff
48,ye,ye,ye.png,860055ff
49,za,za,za.png,860055ff
50,it,it,it.png,860055ff
